city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Hostinné,50.5407,15.7234,Czechia,CZ,Královéhradecký Kraj,,4369,4369
Chlumec,50.6998,13.9397,Czechia,CZ,Ústecký Kraj,,4346,4346
Planá nad Lužnicí,49.3545,14.7015,Czechia,CZ,Jihočeský Kraj,,4328,4328
Kostelec nad Labem,50.2266,14.5856,Czechia,CZ,Středočeský Kraj,,4224,4224
Slatiňany,49.9211,15.8138,Czechia,CZ,Pardubický Kraj,,4217,4217
Uherský Ostroh,48.9856,17.3898,Czechia,CZ,Jihomoravský Kraj,,4217,4217
Králíky,50.0839,16.7606,Czechia,CZ,Pardubický Kraj,,4205,4205
Zdice,49.9122,13.9775,Czechia,CZ,Středočeský Kraj,,4201,4201
Horní Bříza,49.8402,13.3556,Czechia,CZ,Plzeňský Kraj,,4180,4180
Borovany,48.8987,14.6423,Czechia,CZ,Jihočeský Kraj,,4165,4165
Jaroměřice nad Rokytnou,49.0941,15.8933,Czechia,CZ,Vysočina,,4136,4136
Nová Role,50.2710,12.7843,Czechia,CZ,Karlovarský Kraj,,4132,4132
Blovice,49.5823,13.5401,Czechia,CZ,Plzeňský Kraj,,4128,4128
Brušperk,49.7001,18.2221,Czechia,CZ,Moravskoslezský Kraj,,4101,4101
Police nad Metují,50.5369,16.2336,Czechia,CZ,Královéhradecký Kraj,,4049,4049
Dolní Benešov,49.9210,18.1084,Czechia,CZ,Moravskoslezský Kraj,,4038,4038
Jemnice,49.0190,15.5699,Czechia,CZ,Jihočeský Kraj,,4014,4014
Stráž pod Ralskem,50.7029,14.8011,Czechia,CZ,Liberecký Kraj,,3992,3992
Přibyslav,49.5769,15.7386,Czechia,CZ,Vysočina,,3991,3991
Sezemice,50.0665,15.8528,Czechia,CZ,Pardubický Kraj,,3988,3988
Rajhrad,49.0902,16.6039,Czechia,CZ,Jihomoravský Kraj,,3928,3928
Paskov,49.7318,18.2904,Czechia,CZ,Moravskoslezský Kraj,,3917,3917
Kamenický Šenov,50.7737,14.4730,Czechia,CZ,Liberecký Kraj,,3915,3915
Mnichovice,49.9361,14.7091,Czechia,CZ,Středočeský Kraj,,3902,3902
Velešín,48.8296,14.4625,Czechia,CZ,Jihočeský Kraj,,3902,3902
Velké Bílovice,48.8493,16.8923,Czechia,CZ,Jihomoravský Kraj,,3889,3889
Větřní,48.7743,14.2862,Czechia,CZ,Jihočeský Kraj,,3866,3866
Židlochovice,49.0396,16.6188,Czechia,CZ,Jihomoravský Kraj,,3834,3834
Volary,48.9089,13.8866,Czechia,CZ,Jihočeský Kraj,,3787,3787
Kostelec nad Černými Lesy,49.9941,14.8593,Czechia,CZ,Středočeský Kraj,,3780,3780
Zbýšov,49.1553,16.3495,Czechia,CZ,Jihomoravský Kraj,,3775,3775
